original_path,path
Lab 2/Main_Results/Mamba_Encoder_Addition_Results/Temporal_Agent_Mamba/Snapshots/20260801-063721/.gitignore,Studies/SHARP/State_Space_Integration/Main_Results/Mamba_Encoder_Addition_Results/Temporal_Agent_Mamba/Snapshots/20260801-063721/.gitignore
Lab 2/Main_Results/Mamba_Encoder_Addition_Results/Temporal_Agent_Mamba/Snapshots/20260801-063721/BEST_CHECKPOINT.txt,Studies/SHARP/State_Space_Integration/Main_Results/Mamba_Encoder_Addition_Results/Temporal_Agent_Mamba/Snapshots/20260801-063721/BEST_CHECKPOINT.txt
Lab 2/Main_Results/Mamba_Encoder_Addition_Results/Temporal_Agent_Mamba/Snapshots/20260801-063721/CHECKPOINTS.txt,Studies/SHARP/State_Space_Integration/Main_Results/Mamba_Encoder_Addition_Results/Temporal_Agent_Mamba/Snapshots/20260801-063721/CHECKPOINTS.txt
Lab 2/Main_Results/Mamba_Encoder_Addition_Results/Temporal_Agent_Mamba/Snapshots/20260801-063721/README.md,Studies/SHARP/State_Space_Integration/Main_Results/Mamba_Encoder_Addition_Results/Temporal_Agent_Mamba/Snapshots/20260801-063721/README.md
Lab 2/Main_Results/Mamba_Encoder_Addition_Results/Temporal_Agent_Mamba/Snapshots/20260801-063721/RUN_STATUS.txt,Studies/SHARP/State_Space_Integration/Main_Results/Mamba_Encoder_Addition_Results/Temporal_Agent_Mamba/Snapshots/20260801-063721/RUN_STATUS.txt
Lab 2/Main_Results/Mamba_Encoder_Addition_Results/Temporal_Agent_Mamba/Snapshots/20260801-063721/Terminal_Summary.txt,Studies/SHARP/State_Space_Integration/Main_Results/Mamba_Encoder_Addition_Results/Temporal_Agent_Mamba/Snapshots/20260801-063721/Terminal_Summary.txt
Lab 2/Main_Results/Mamba_Encoder_Addition_Results/Temporal_Agent_Mamba/Snapshots/20260803-045226/.gitignore,Studies/SHARP/State_Space_Integration/Main_Results/Mamba_Encoder_Addition_Results/Temporal_Agent_Mamba/Snapshots/20260803-045226/.gitignore
Lab 2/Main_Results/Mamba_Encoder_Addition_Results/Temporal_Agent_Mamba/Snapshots/20260803-045226/BEST_CHECKPOINT.txt,Studies/SHARP/State_Space_Integration/Main_Results/Mamba_Encoder_Addition_Results/Temporal_Agent_Mamba/Snapshots/20260803-045226/BEST_CHECKPOINT.txt
Lab 2/Main_Results/Mamba_Encoder_Addition_Results/Temporal_Agent_Mamba/Snapshots/20260803-045226/CHECKPOINTS.txt,Studies/SHARP/State_Space_Integration/Main_Results/Mamba_Encoder_Addition_Results/Temporal_Agent_Mamba/Snapshots/20260803-045226/CHECKPOINTS.txt
Lab 2/Main_Results/Mamba_Encoder_Addition_Results/Temporal_Agent_Mamba/Snapshots/20260803-045226/README.md,Studies/SHARP/State_Space_Integration/Main_Results/Mamba_Encoder_Addition_Results/Temporal_Agent_Mamba/Snapshots/20260803-045226/README.md
Lab 2/Main_Results/Mamba_Encoder_Addition_Results/Temporal_Agent_Mamba/Snapshots/20260803-045226/RUN_STATUS.txt,Studies/SHARP/State_Space_Integration/Main_Results/Mamba_Encoder_Addition_Results/Temporal_Agent_Mamba/Snapshots/20260803-045226/RUN_STATUS.txt
Lab 2/Main_Results/Mamba_Encoder_Addition_Results/Temporal_Agent_Mamba/Snapshots/20260803-045226/Terminal_Summary.txt,Studies/SHARP/State_Space_Integration/Main_Results/Mamba_Encoder_Addition_Results/Temporal_Agent_Mamba/Snapshots/20260803-045226/Terminal_Summary.txt
Lab 2/Main_Results/Mamba_Encoder_Addition_Results/checkpoint-SHA256SUMS.txt,Studies/SHARP/State_Space_Integration/Main_Results/Mamba_Encoder_Addition_Results/checkpoint-SHA256SUMS.txt
Lab 2/Main_Results/Mamba_Encoder_Addition_Results/checkpoint-inventory.txt,Studies/SHARP/State_Space_Integration/Main_Results/Mamba_Encoder_Addition_Results/checkpoint-inventory.txt
Lab 2/Main_Results/Mamba_Encoder_Addition_Results/conda-list.txt,Studies/SHARP/State_Space_Integration/Main_Results/Mamba_Encoder_Addition_Results/conda-list.txt
Lab 2/Main_Results/Mamba_Encoder_Addition_Results/configuration/config.yaml,Studies/SHARP/State_Space_Integration/Main_Results/Mamba_Encoder_Addition_Results/configuration/config.yaml
Lab 2/Main_Results/Mamba_Encoder_Addition_Results/configuration/hydra.yaml,Studies/SHARP/State_Space_Integration/Main_Results/Mamba_Encoder_Addition_Results/configuration/hydra.yaml
Lab 2/Main_Results/Mamba_Encoder_Addition_Results/configuration/overrides.yaml,Studies/SHARP/State_Space_Integration/Main_Results/Mamba_Encoder_Addition_Results/configuration/overrides.yaml
Lab 2/Main_Results/Mamba_Encoder_Addition_Results/final-log-excerpt.txt,Studies/SHARP/State_Space_Integration/Main_Results/Mamba_Encoder_Addition_Results/final-log-excerpt.txt
Lab 2/Main_Results/Mamba_Encoder_Addition_Results/local-archive-SHA256SUMS.txt,Studies/SHARP/State_Space_Integration/Main_Results/Mamba_Encoder_Addition_Results/local-archive-SHA256SUMS.txt
Lab 2/Main_Results/Mamba_Encoder_Addition_Results/nvidia-smi.txt,Studies/SHARP/State_Space_Integration/Main_Results/Mamba_Encoder_Addition_Results/nvidia-smi.txt
Lab 2/Main_Results/Mamba_Encoder_Addition_Results/pip-freeze.txt,Studies/SHARP/State_Space_Integration/Main_Results/Mamba_Encoder_Addition_Results/pip-freeze.txt
Lab 2/Main_Results/Mamba_Encoder_Addition_Results/reproducibility/run_av2_mamba_fused_4gpu_syncbn.sh,Studies/SHARP/State_Space_Integration/Main_Results/Mamba_Encoder_Addition_Results/reproducibility/run_av2_mamba_fused_4gpu_syncbn.sh
Lab 2/Main_Results/Mamba_Encoder_Addition_Results/reproducibility/sharp_mamba.py,Studies/SHARP/State_Space_Integration/Main_Results/Mamba_Encoder_Addition_Results/reproducibility/sharp_mamba.py
Lab 2/Main_Results/Mamba_Encoder_Addition_Results/system.txt,Studies/SHARP/State_Space_Integration/Main_Results/Mamba_Encoder_Addition_Results/system.txt
Lab 2/README.md,Studies/SHARP/State_Space_Integration/README.md
Lab 2/SHARP_20_Epoch_10_Test_Suite/CHECKPOINTS.txt,Studies/SHARP/Architecture_Ablation/CHECKPOINTS.txt
Lab 2/SHARP_20_Epoch_10_Test_Suite/CURRENT_ATTEMPT.txt,Studies/SHARP/Architecture_Ablation/CURRENT_ATTEMPT.txt
Lab 2/SHARP_20_Epoch_10_Test_Suite/CURRENT_ERRORS.txt,Studies/SHARP/Architecture_Ablation/CURRENT_ERRORS.txt
Lab 2/SHARP_20_Epoch_10_Test_Suite/ERRORS.txt,Studies/SHARP/Architecture_Ablation/ERRORS.txt
Lab 2/SHARP_20_Epoch_10_Test_Suite/EXPERIMENT_MANIFEST.md,Studies/SHARP/Architecture_Ablation/EXPERIMENT_MANIFEST.md
Lab 2/SHARP_20_Epoch_10_Test_Suite/README.md,Studies/SHARP/Architecture_Ablation/README.md
Lab 2/SHARP_20_Epoch_10_Test_Suite/RUN_STATUS.txt,Studies/SHARP/Architecture_Ablation/RUN_STATUS.txt
Lab 2/SHARP_20_Epoch_10_Test_Suite/Runs/SHARP_AV2_20EPOCH_10TEST_20260805-031733/CHECKPOINTS.txt,Studies/SHARP/Architecture_Ablation/Runs/SHARP_AV2_20EPOCH_10TEST_20260805-031733/CHECKPOINTS.txt
Lab 2/SHARP_20_Epoch_10_Test_Suite/Runs/SHARP_AV2_20EPOCH_10TEST_20260805-031733/CURRENT_WARNINGS_AND_ERRORS.txt,Studies/SHARP/Architecture_Ablation/Runs/SHARP_AV2_20EPOCH_10TEST_20260805-031733/CURRENT_WARNINGS_AND_ERRORS.txt
Lab 2/SHARP_20_Epoch_10_Test_Suite/Runs/SHARP_AV2_20EPOCH_10TEST_20260805-031733/README.md,Studies/SHARP/Architecture_Ablation/Runs/SHARP_AV2_20EPOCH_10TEST_20260805-031733/README.md
Lab 2/SHARP_20_Epoch_10_Test_Suite/Runs/SHARP_AV2_20EPOCH_10TEST_20260805-031733/RUN_STATUS.txt,Studies/SHARP/Architecture_Ablation/Runs/SHARP_AV2_20EPOCH_10TEST_20260805-031733/RUN_STATUS.txt
Lab 2/SHARP_20_Epoch_10_Test_Suite/Runs/SHARP_AV2_20EPOCH_10TEST_20260805-031733/Summary.md,Studies/SHARP/Architecture_Ablation/Runs/SHARP_AV2_20EPOCH_10TEST_20260805-031733/Summary.md
Lab 2/SHARP_20_Epoch_10_Test_Suite/Runs/SHARP_AV2_20EPOCH_10TEST_20260805-031733/Terminal.txt,Studies/SHARP/Architecture_Ablation/Runs/SHARP_AV2_20EPOCH_10TEST_20260805-031733/Terminal.txt
Lab 2/SHARP_20_Epoch_10_Test_Suite/Runs/SHARP_AV2_20EPOCH_10TEST_20260805-031733/VARIANT_STATUS.txt,Studies/SHARP/Architecture_Ablation/Runs/SHARP_AV2_20EPOCH_10TEST_20260805-031733/VARIANT_STATUS.txt
Lab 2/SHARP_20_Epoch_10_Test_Suite/TERMINAL_COMMANDS.md,Studies/SHARP/Architecture_Ablation/TERMINAL_COMMANDS.md
Lab 2/SHARP_20_Epoch_10_Test_Suite/TERMINAL_COMMANDS_DRIVER_SAFE.md,Studies/SHARP/Architecture_Ablation/TERMINAL_COMMANDS_DRIVER_SAFE.md
Lab 2/SHARP_20_Epoch_10_Test_Suite/Terminal.txt,Studies/SHARP/Architecture_Ablation/Terminal.txt
Lab 2/SHARP_20_Epoch_10_Test_Suite/generate_lab2_10test_snapshot.py,Studies/SHARP/Architecture_Ablation/generate_lab2_10test_snapshot.py
Lab 2/SHARP_20_Epoch_10_Test_Suite/launch_lab2_10test_suite.sh,Studies/SHARP/Architecture_Ablation/launch_lab2_10test_suite.sh
Lab 2/SHARP_20_Epoch_10_Test_Suite/launch_lab2_10test_suite_v2.sh,Studies/SHARP/Architecture_Ablation/launch_lab2_10test_suite_v2.sh
Lab 2/SHARP_20_Epoch_10_Test_Suite/launch_lab2_10test_suite_v3.sh,Studies/SHARP/Architecture_Ablation/launch_lab2_10test_suite_v3.sh
Lab 2/SHARP_20_Epoch_10_Test_Suite/launch_lab2_10test_suite_v4.sh,Studies/SHARP/Architecture_Ablation/launch_lab2_10test_suite_v4.sh
Lab 2/SHARP_20_Epoch_10_Test_Suite/launch_lab2_10test_suite_v5.sh,Studies/SHARP/Architecture_Ablation/launch_lab2_10test_suite_v5.sh
Lab 2/SHARP_20_Epoch_10_Test_Suite/patch_uncertainty_context_ddp.py,Studies/SHARP/Architecture_Ablation/patch_uncertainty_context_ddp.py
Lab 2/SHARP_20_Epoch_10_Test_Suite/patch_uncertainty_runner_sync_cuda.py,Studies/SHARP/Architecture_Ablation/patch_uncertainty_runner_sync_cuda.py
Lab 2/SHARP_20_Epoch_10_Test_Suite/patch_uncertainty_target_context_cuda.py,Studies/SHARP/Architecture_Ablation/patch_uncertainty_target_context_cuda.py
Lab 2/SHARP_20_Epoch_10_Test_Suite/preflight_suite.py,Studies/SHARP/Architecture_Ablation/preflight_suite.py
Lab 2/SHARP_20_Epoch_10_Test_Suite/prepare_lab2_nvidia_58015903_userspace.sh,Studies/SHARP/Architecture_Ablation/prepare_lab2_nvidia_58015903_userspace.sh
Lab 2/SHARP_20_Epoch_10_Test_Suite/publish_lab2_10test_snapshot.sh,Studies/SHARP/Architecture_Ablation/publish_lab2_10test_snapshot.sh
Lab 2/SHARP_20_Epoch_10_Test_Suite/recover_and_resume_lab2_10test.sh,Studies/SHARP/Architecture_Ablation/recover_and_resume_lab2_10test.sh
Lab 2/SHARP_20_Epoch_10_Test_Suite/recover_and_resume_lab2_10test_cuda.sh,Studies/SHARP/Architecture_Ablation/recover_and_resume_lab2_10test_cuda.sh
Lab 2/SHARP_20_Epoch_10_Test_Suite/restart_lab2_after_async_cuda_failure.sh,Studies/SHARP/Architecture_Ablation/restart_lab2_after_async_cuda_failure.sh
Lab 2/SHARP_20_Epoch_10_Test_Suite/run_10_test_suite.sh,Studies/SHARP/Architecture_Ablation/run_10_test_suite.sh
Lab 2/SHARP_20_Epoch_10_Test_Suite/runtime/ablation_modules.py,Studies/SHARP/Architecture_Ablation/runtime/ablation_modules.py
Lab 2/SHARP_20_Epoch_10_Test_Suite/runtime/sitecustomize.py,Studies/SHARP/Architecture_Ablation/runtime/sitecustomize.py
Lab 2/SHARP_20_Epoch_10_Test_Suite/runtime/temporal_mamba_replacement.py,Studies/SHARP/Architecture_Ablation/runtime/temporal_mamba_replacement.py
Lab 2/SHARP_20_Epoch_10_Test_Suite/setup_lab2_sharp_20epoch_10test.py,Studies/SHARP/Architecture_Ablation/setup_lab2_sharp_20epoch_10test.py
Lab 2/SHARP_20_Epoch_10_Test_Suite/setup_lab2_sharp_20epoch_10test_v2.py,Studies/SHARP/Architecture_Ablation/setup_lab2_sharp_20epoch_10test_v2.py
Lab 2/SHARP_20_Epoch_10_Test_Suite/setup_lab2_sharp_20epoch_10test_v3.py,Studies/SHARP/Architecture_Ablation/setup_lab2_sharp_20epoch_10test_v3.py
Lab 2/SHARP_20_Epoch_10_Test_Suite/setup_lab2_sharp_20epoch_10test_v4.py,Studies/SHARP/Architecture_Ablation/setup_lab2_sharp_20epoch_10test_v4.py
Lab 2/SHARP_20_Epoch_10_Test_Suite/setup_lab2_sharp_20epoch_10test_v5.py,Studies/SHARP/Architecture_Ablation/setup_lab2_sharp_20epoch_10test_v5.py
Lab 2/SHARP_20_Epoch_10_Test_Suite/suite_status.py,Studies/SHARP/Architecture_Ablation/suite_status.py
Lab 2/SHARP_20_Epoch_10_Test_Suite/summarize_variant.py,Studies/SHARP/Architecture_Ablation/summarize_variant.py
Lab 2/SHARP_20_Epoch_10_Test_Suite/test_patch_uncertainty_context_ddp.py,Studies/SHARP/Architecture_Ablation/test_patch_uncertainty_context_ddp.py
Lab 2/SHARP_20_Epoch_10_Test_Suite/test_patch_uncertainty_target_context_cuda.py,Studies/SHARP/Architecture_Ablation/test_patch_uncertainty_target_context_cuda.py
Lab 2/SHARP_20_Epoch_10_Test_Suite/validate_uncertainty_ddp_bridge.py,Studies/SHARP/Architecture_Ablation/validate_uncertainty_ddp_bridge.py
Lab 2/SHARP_20_Epoch_10_Test_Suite/validate_uncertainty_target_context_cuda.py,Studies/SHARP/Architecture_Ablation/validate_uncertainty_target_context_cuda.py
Lab 2/SHARP_Final_3_Run_Suite/.gitignore,Studies/SHARP/Architecture_Integration/.gitignore
Lab 2/SHARP_Final_3_Run_Suite/ARTICLE_CODE_ALIGNMENT.md,Studies/SHARP/Architecture_Integration/ARTICLE_CODE_ALIGNMENT.md
Lab 2/SHARP_Final_3_Run_Suite/README.md,Studies/SHARP/Architecture_Integration/README.md
Lab 2/SHARP_Final_3_Run_Suite/Results/SHARP_FINAL_3RUN_20260825-144225/Current_Progress/.gitignore,Studies/SHARP/Architecture_Integration/Results/SHARP_FINAL_3RUN_20260825-144225/Current_Progress/.gitignore
Lab 2/SHARP_Final_3_Run_Suite/Results/SHARP_FINAL_3RUN_20260825-144225/Current_Progress/CHECKPOINTS.txt,Studies/SHARP/Architecture_Integration/Results/SHARP_FINAL_3RUN_20260825-144225/Current_Progress/CHECKPOINTS.txt
Lab 2/SHARP_Final_3_Run_Suite/Results/SHARP_FINAL_3RUN_20260825-144225/Current_Progress/PROCESS_STATUS.txt,Studies/SHARP/Architecture_Integration/Results/SHARP_FINAL_3RUN_20260825-144225/Current_Progress/PROCESS_STATUS.txt
Lab 2/SHARP_Final_3_Run_Suite/Results/SHARP_FINAL_3RUN_20260825-144225/Current_Progress/RUN_STATUS.txt,Studies/SHARP/Architecture_Integration/Results/SHARP_FINAL_3RUN_20260825-144225/Current_Progress/RUN_STATUS.txt
Lab 2/SHARP_Final_3_Run_Suite/Results/SHARP_FINAL_3RUN_20260825-144225/Current_Progress/Summary.md,Studies/SHARP/Architecture_Integration/Results/SHARP_FINAL_3RUN_20260825-144225/Current_Progress/Summary.md
Lab 2/SHARP_Final_3_Run_Suite/Results/SHARP_FINAL_3RUN_20260825-144225/Current_Progress/Terminal.txt,Studies/SHARP/Architecture_Integration/Results/SHARP_FINAL_3RUN_20260825-144225/Current_Progress/Terminal.txt
Lab 2/SHARP_Final_3_Run_Suite/Results/SHARP_FINAL_3RUN_20260825-174605/01_official_sharp_baseline/.gitignore,Studies/SHARP/Architecture_Integration/Results/SHARP_FINAL_3RUN_20260825-174605/01_official_sharp_baseline/.gitignore
Lab 2/SHARP_Final_3_Run_Suite/Results/SHARP_FINAL_3RUN_20260825-174605/01_official_sharp_baseline/ARCHITECTURE_AUDIT.txt,Studies/SHARP/Architecture_Integration/Results/SHARP_FINAL_3RUN_20260825-174605/01_official_sharp_baseline/ARCHITECTURE_AUDIT.txt
Lab 2/SHARP_Final_3_Run_Suite/Results/SHARP_FINAL_3RUN_20260825-174605/01_official_sharp_baseline/ATTEMPTS.tsv,Studies/SHARP/Architecture_Integration/Results/SHARP_FINAL_3RUN_20260825-174605/01_official_sharp_baseline/ATTEMPTS.tsv
Lab 2/SHARP_Final_3_Run_Suite/Results/SHARP_FINAL_3RUN_20260825-174605/01_official_sharp_baseline/BEST_CHECKPOINT.txt,Studies/SHARP/Architecture_Integration/Results/SHARP_FINAL_3RUN_20260825-174605/01_official_sharp_baseline/BEST_CHECKPOINT.txt
Lab 2/SHARP_Final_3_Run_Suite/Results/SHARP_FINAL_3RUN_20260825-174605/01_official_sharp_baseline/CHECKPOINTS.txt,Studies/SHARP/Architecture_Integration/Results/SHARP_FINAL_3RUN_20260825-174605/01_official_sharp_baseline/CHECKPOINTS.txt
Lab 2/SHARP_Final_3_Run_Suite/Results/SHARP_FINAL_3RUN_20260825-174605/01_official_sharp_baseline/RUN_TIMING.json,Studies/SHARP/Architecture_Integration/Results/SHARP_FINAL_3RUN_20260825-174605/01_official_sharp_baseline/RUN_TIMING.json
Lab 2/SHARP_Final_3_Run_Suite/Results/SHARP_FINAL_3RUN_20260825-174605/01_official_sharp_baseline/Summary.md,Studies/SHARP/Architecture_Integration/Results/SHARP_FINAL_3RUN_20260825-174605/01_official_sharp_baseline/Summary.md
Lab 2/SHARP_Final_3_Run_Suite/Results/SHARP_FINAL_3RUN_20260825-174605/01_official_sharp_baseline/TRAIN_COMMAND.txt,Studies/SHARP/Architecture_Integration/Results/SHARP_FINAL_3RUN_20260825-174605/01_official_sharp_baseline/TRAIN_COMMAND.txt
Lab 2/SHARP_Final_3_Run_Suite/Results/SHARP_FINAL_3RUN_20260825-174605/01_official_sharp_baseline/Terminal.txt,Studies/SHARP/Architecture_Integration/Results/SHARP_FINAL_3RUN_20260825-174605/01_official_sharp_baseline/Terminal.txt
Lab 2/SHARP_Final_3_Run_Suite/Results/SHARP_FINAL_3RUN_20260825-174605/01_official_sharp_baseline/evaluation.log,Studies/SHARP/Architecture_Integration/Results/SHARP_FINAL_3RUN_20260825-174605/01_official_sharp_baseline/evaluation.log
Lab 2/SHARP_Final_3_Run_Suite/Results/SHARP_FINAL_3RUN_20260825-174605/01_official_sharp_baseline/final_metrics.csv,Studies/SHARP/Architecture_Integration/Results/SHARP_FINAL_3RUN_20260825-174605/01_official_sharp_baseline/final_metrics.csv
Lab 2/SHARP_Final_3_Run_Suite/Results/SHARP_FINAL_3RUN_20260825-174605/01_official_sharp_baseline/hydra_overrides.yaml,Studies/SHARP/Architecture_Integration/Results/SHARP_FINAL_3RUN_20260825-174605/01_official_sharp_baseline/hydra_overrides.yaml
Lab 2/SHARP_Final_3_Run_Suite/Results/SHARP_FINAL_3RUN_20260825-174605/01_official_sharp_baseline/metrics.json,Studies/SHARP/Architecture_Integration/Results/SHARP_FINAL_3RUN_20260825-174605/01_official_sharp_baseline/metrics.json
Lab 2/SHARP_Final_3_Run_Suite/Results/SHARP_FINAL_3RUN_20260825-174605/01_official_sharp_baseline/metrics_history.csv,Studies/SHARP/Architecture_Integration/Results/SHARP_FINAL_3RUN_20260825-174605/01_official_sharp_baseline/metrics_history.csv
Lab 2/SHARP_Final_3_Run_Suite/Results/SHARP_FINAL_3RUN_20260825-174605/01_official_sharp_baseline/metrics_history.md,Studies/SHARP/Architecture_Integration/Results/SHARP_FINAL_3RUN_20260825-174605/01_official_sharp_baseline/metrics_history.md
Lab 2/SHARP_Final_3_Run_Suite/Results/SHARP_FINAL_3RUN_20260825-174605/01_official_sharp_baseline/minADE6_curve.png,Studies/SHARP/Architecture_Integration/Results/SHARP_FINAL_3RUN_20260825-174605/01_official_sharp_baseline/minADE6_curve.png
Lab 2/SHARP_Final_3_Run_Suite/Results/SHARP_FINAL_3RUN_20260825-174605/01_official_sharp_baseline/minADE6_curve.svg,Studies/SHARP/Architecture_Integration/Results/SHARP_FINAL_3RUN_20260825-174605/01_official_sharp_baseline/minADE6_curve.svg
Lab 2/SHARP_Final_3_Run_Suite/Results/SHARP_FINAL_3RUN_20260825-174605/01_official_sharp_baseline/resolved_config.yaml,Studies/SHARP/Architecture_Integration/Results/SHARP_FINAL_3RUN_20260825-174605/01_official_sharp_baseline/resolved_config.yaml
Lab 2/SHARP_Final_3_Run_Suite/Results/SHARP_FINAL_3RUN_20260825-174605/01_official_sharp_baseline/training_metrics.png,Studies/SHARP/Architecture_Integration/Results/SHARP_FINAL_3RUN_20260825-174605/01_official_sharp_baseline/training_metrics.png
Lab 2/SHARP_Final_3_Run_Suite/Results/SHARP_FINAL_3RUN_20260825-174605/01_official_sharp_baseline/training_metrics.svg,Studies/SHARP/Architecture_Integration/Results/SHARP_FINAL_3RUN_20260825-174605/01_official_sharp_baseline/training_metrics.svg
Lab 2/SHARP_Final_3_Run_Suite/Results/SHARP_FINAL_3RUN_20260825-174605/01_official_sharp_baseline/warnings_and_errors.txt,Studies/SHARP/Architecture_Integration/Results/SHARP_FINAL_3RUN_20260825-174605/01_official_sharp_baseline/warnings_and_errors.txt
Lab 2/SHARP_Final_3_Run_Suite/Results/SHARP_FINAL_3RUN_20260825-174605/02_qknorm_uncertainty_geometry/.gitignore,Studies/SHARP/Architecture_Integration/Results/SHARP_FINAL_3RUN_20260825-174605/02_qknorm_uncertainty_geometry/.gitignore
Lab 2/SHARP_Final_3_Run_Suite/Results/SHARP_FINAL_3RUN_20260825-174605/02_qknorm_uncertainty_geometry/ARCHITECTURE_AUDIT.txt,Studies/SHARP/Architecture_Integration/Results/SHARP_FINAL_3RUN_20260825-174605/02_qknorm_uncertainty_geometry/ARCHITECTURE_AUDIT.txt
Lab 2/SHARP_Final_3_Run_Suite/Results/SHARP_FINAL_3RUN_20260825-174605/02_qknorm_uncertainty_geometry/ATTEMPTS.tsv,Studies/SHARP/Architecture_Integration/Results/SHARP_FINAL_3RUN_20260825-174605/02_qknorm_uncertainty_geometry/ATTEMPTS.tsv
Lab 2/SHARP_Final_3_Run_Suite/Results/SHARP_FINAL_3RUN_20260825-174605/02_qknorm_uncertainty_geometry/BEST_CHECKPOINT.txt,Studies/SHARP/Architecture_Integration/Results/SHARP_FINAL_3RUN_20260825-174605/02_qknorm_uncertainty_geometry/BEST_CHECKPOINT.txt
Lab 2/SHARP_Final_3_Run_Suite/Results/SHARP_FINAL_3RUN_20260825-174605/02_qknorm_uncertainty_geometry/CHECKPOINTS.txt,Studies/SHARP/Architecture_Integration/Results/SHARP_FINAL_3RUN_20260825-174605/02_qknorm_uncertainty_geometry/CHECKPOINTS.txt
Lab 2/SHARP_Final_3_Run_Suite/Results/SHARP_FINAL_3RUN_20260825-174605/02_qknorm_uncertainty_geometry/RUN_TIMING.json,Studies/SHARP/Architecture_Integration/Results/SHARP_FINAL_3RUN_20260825-174605/02_qknorm_uncertainty_geometry/RUN_TIMING.json
Lab 2/SHARP_Final_3_Run_Suite/Results/SHARP_FINAL_3RUN_20260825-174605/02_qknorm_uncertainty_geometry/Summary.md,Studies/SHARP/Architecture_Integration/Results/SHARP_FINAL_3RUN_20260825-174605/02_qknorm_uncertainty_geometry/Summary.md
Lab 2/SHARP_Final_3_Run_Suite/Results/SHARP_FINAL_3RUN_20260825-174605/02_qknorm_uncertainty_geometry/TRAIN_COMMAND.txt,Studies/SHARP/Architecture_Integration/Results/SHARP_FINAL_3RUN_20260825-174605/02_qknorm_uncertainty_geometry/TRAIN_COMMAND.txt
Lab 2/SHARP_Final_3_Run_Suite/Results/SHARP_FINAL_3RUN_20260825-174605/02_qknorm_uncertainty_geometry/Terminal.txt,Studies/SHARP/Architecture_Integration/Results/SHARP_FINAL_3RUN_20260825-174605/02_qknorm_uncertainty_geometry/Terminal.txt
